,RG,U-Net,Metric
28838683 - left,0.962,0.932,Dice
28838683 - left,0.927,0.873,Jac
28838683 - left,0.945,0.949,TPr
28838683 - left,0.982,0.982,VS
28838683 - right,0.966,0.944,Dice
28838683 - right,0.934,0.894,Jac
28838683 - right,0.949,0.96,TPr
28838683 - right,0.982,0.983,VS
31022832 - left,0.002,0.919,Dice
31022832 - left,0.001,0.85,Jac
31022832 - left,0.006,0.948,TPr
31022832 - left,0.261,0.97,VS
31022832 - right,0.954,0.934,Dice
31022832 - right,0.913,0.876,Jac
31022832 - right,0.927,0.944,TPr
31022832 - right,0.97,0.99,VS
36778909 - left,0.968,0.919,Dice
36778909 - left,0.938,0.85,Jac
36778909 - left,0.963,0.947,TPr
36778909 - left,0.995,0.971,VS
36778909 - right,0.969,0.925,Dice
36778909 - right,0.94,0.861,Jac
36778909 - right,0.96,0.952,TPr
36778909 - right,0.991,0.972,VS
37017626 - left,0.924,0.93,Dice
37017626 - left,0.858,0.869,Jac
37017626 - left,0.874,0.96,TPr
37017626 - left,0.944,0.968,VS
37017626 - right,0.957,0.947,Dice
37017626 - right,0.917,0.9,Jac
37017626 - right,0.929,0.974,TPr
37017626 - right,0.97,0.973,VS
37173796 - left,0.964,0.947,Dice
37173796 - left,0.93,0.9,Jac
37173796 - left,0.934,0.972,TPr
37173796 - left,0.968,0.974,VS
37173796 - right,0.965,0.947,Dice
37173796 - right,0.932,0.9,Jac
37173796 - right,0.94,0.968,TPr
37173796 - right,0.973,0.979,VS
37881605 - left,0.941,0.95,Dice
37881605 - left,0.889,0.904,Jac
37881605 - left,0.893,0.94,TPr
37881605 - left,0.946,0.99,VS
37881605 - right,0.948,0.954,Dice
37881605 - right,0.902,0.912,Jac
37881605 - right,0.911,0.955,TPr
37881605 - right,0.959,1.0,VS
38133514 - left,0.961,0.94,Dice
38133514 - left,0.925,0.888,Jac
38133514 - left,0.95,0.976,TPr
38133514 - left,0.988,0.964,VS
38133514 - right,0.959,0.943,Dice
38133514 - right,0.921,0.893,Jac
38133514 - right,0.959,0.977,TPr
38133514 - right,1.0,0.965,VS
39002828 - left,0.924,0.927,Dice
39002828 - left,0.86,0.864,Jac
39002828 - left,0.916,0.952,TPr
39002828 - left,0.991,0.974,VS
39002828 - right,0.873,0.941,Dice
39002828 - right,0.775,0.888,Jac
39002828 - right,0.808,0.961,TPr
39002828 - right,0.919,0.979,VS
39256095 - left,0.96,0.945,Dice
39256095 - left,0.923,0.896,Jac
39256095 - left,0.928,0.966,TPr
39256095 - left,0.965,0.978,VS
39256095 - right,0.002,0.953,Dice
39256095 - right,0.001,0.91,Jac
39256095 - right,0.003,0.976,TPr
39256095 - right,0.794,0.976,VS
40433190 - right,0.701,0.928,Dice
40433190 - right,0.54,0.866,Jac
40433190 - right,0.595,0.951,TPr
40433190 - right,0.821,0.976,VS
47262863 - left,0.958,0.941,Dice
47262863 - left,0.919,0.889,Jac
47262863 - left,0.924,0.962,TPr
47262863 - left,0.964,0.978,VS
47262863 - right,0.961,0.949,Dice
47262863 - right,0.924,0.903,Jac
47262863 - right,0.932,0.974,TPr
47262863 - right,0.969,0.975,VS
47295940 - left,0.939,0.946,Dice
47295940 - left,0.886,0.898,Jac
47295940 - left,0.891,0.931,TPr
47295940 - left,0.946,0.984,VS
47295940 - right,0.941,0.951,Dice
47295940 - right,0.889,0.906,Jac
47295940 - right,0.907,0.943,TPr
47295940 - right,0.962,0.992,VS
48389421 - left,0.959,0.949,Dice
48389421 - left,0.921,0.902,Jac
48389421 - left,0.927,0.963,TPr
48389421 - left,0.966,0.985,VS
48389421 - right,0.96,0.945,Dice
48389421 - right,0.922,0.896,Jac
48389421 - right,0.93,0.956,TPr
48389421 - right,0.968,0.989,VS
